Description:,"New York City Labor Force Data, Seasonally Adjusted",,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,"New York State Department of Labor, Current Employment Statistics. Data seasonally adjusted by New York City Office of Management and Budget",,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,"As of the January 2018 reference month (released March 9, 2018), NYC OMB has altered its seasonal adjustment methodology.  For details see http://www1.nyc.gov/assets/omb/downloads/pdf/2stepSAmethodology.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"As of the May 2021 reference month (released July 2, 2021), NYC OMB has altered its seasonal adjustment methodology.  For details see http://www1.nyc.gov/assets/omb/downloads/pdf/nycomb_covidoutliers.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry:,Total Nonfarm,Total Private,Financial Activities,Finance and Insurance,Securities,Banking,Real Estate,Information,Professional and Business Services,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Administrative Services,Employment Services,Education and Health Services,Educational Services,Health Care and Social Assistance,Leisure and Hospitality,"Arts, Entertainment, and Recreation", Accommodation and Food Services,Other Services,"Trade, Transportation, and Utilities",Retail Trade,Wholesale Trade,Transportation and Warehousing,Utilities,Construction, Manufacturing, Government
Units:,(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's),(000's)
1994M10,3343.359,2765.446,470.1729,363.589,168.028,123.059,106.584,153.564,442.8851,229.137,53.81913,159.9289,47.55708,553.2111,116.0805,437.1306,201.7091,41.9111,159.798,121.0691,522.7641,238.0912,155.0252,110.6492,18.99839,89.25613,210.8142,577.9135
1994M11,3344.887,2772.295,470.9524,364.0941,168.7629,122.806,106.8583,153.9703,444.8414,230.0821,53.83272,160.9266,48.91157,554.9469,116.5324,438.4145,202.7596,42.10798,160.6517,121.2656,523.9116,238.855,154.8594,111.184,19.01313,89.40688,210.2401,572.5919
1994M12,3345.216,2776.025,471.2934,364.3435,169.3746,122.3359,106.9499,154.1279,443.5524,230.544,53.64389,159.3645,48.45656,557.5042,116.7241,440.7801,203.665,42.74771,160.9173,121.0062,524.7448,238.8736,155.4942,111.4454,18.93173,89.9605,210.1704,569.1912
1995M01,3345.976,2779.524,470.4034,362.8898,168.6509,121.9217,107.5136,153.5995,440.7773,230.7724,53.74787,156.257,46.68618,557.3983,116.0952,441.3031,204.5339,43.11526,161.4187,121.3918,529.8231,241.0325,156.6568,113.1668,18.96707,90.94936,210.6469,566.4525
1995M02,3345.98,2781.762,470.9336,363.1,169.002,121.4748,107.8336,153.573,441.4005,231.189,53.72013,156.4914,46.52947,558.1618,115.015,443.1468,205.5301,42.46971,163.0604,121.6952,529.276,241.1351,157.0818,112.1561,18.90289,90.39417,210.7981,564.2177
1995M03,3345.751,2784.281,470.4137,362.27,168.3346,121.2995,108.1436,153.4312,442.2225,231.7345,54.18844,156.2996,46.71043,559.5389,115.4605,444.0784,206.4375,43.13042,163.307,121.8897,529.2252,241.5142,157.0683,111.7877,18.85501,91.05404,210.068,561.4705
1995M04,3344.341,2782.549,468.3993,359.9123,166.7469,120.9763,108.487,153.7762,442.8023,231.1406,55.00688,156.6548,45.78689,559.2634,116.2914,442.972,207.7198,44.50642,163.2134,122.0393,528.4938,241.8134,156.2281,111.6055,18.84681,90.61139,209.4434,561.7925
1995M05,3346.629,2786.445,467.5292,359.1179,166.49,120.5556,108.4113,155.5713,445.8904,232.1352,55.15606,158.5992,46.71149,560.9393,118.0964,442.8429,206.9121,43.87978,163.0323,122.2343,528.9947,241.7452,156.2298,112.2063,18.81342,90.17197,208.2019,560.1841
1995M06,3348.741,2787.616,466.6701,358.1045,165.6408,120.2403,108.5656,154.7384,447.637,232.2242,55.26903,160.1438,47.2889,561.3113,118.1003,443.2109,208.0582,43.6229,164.4353,122.1627,529.7063,242.7387,156.4965,111.7205,18.75061,89.52291,207.8088,561.125
1995M07,3344.168,2780.946,465.1831,355.8469,164.007,119.4548,109.3363,154.9084,445.0842,232.5114,54.41936,158.1535,46.55053,561.7764,117.9425,443.834,208.189,43.51926,164.6697,122.2369,527.5653,244.0054,154.1491,110.6618,18.74912,88.58739,207.415,563.2228
1995M08,3350.582,2788.535,464.2184,355.2642,164.2616,118.898,108.9543,155.3779,447.0735,233.684,54.48293,158.9065,47.17684,563.5952,119.0113,444.5838,209.4142,43.9002,165.514,122.8224,529.3451,244.704,154.4806,111.4817,18.67875,89.0255,207.663,562.0466
1995M09,3352.002,2797.646,466.046,356.3555,165.474,118.7446,109.6905,156.6493,447.949,234.2006,54.52244,159.226,47.04,565.235,119.3305,445.9045,210.4372,44.56046,165.8767,123.258,531.4009,245.9318,154.5641,112.0685,18.83638,89.48129,207.1891,554.3563
1995M10,3350.866,2797.549,465.14,356.5645,166.5296,117.7523,108.5755,157.1163,449.9525,234.1779,54.68758,161.087,48.62834,565.9019,120.7245,445.1774,210.3097,45.50487,164.8048,123.2342,530.4472,245.1686,153.9034,112.673,18.70223,89.71457,205.7331,553.3161
1995M11,3356.357,2803.679,464.6087,356.2083,166.6188,117.4025,108.4004,157.8592,450.5107,234.4438,54.86571,161.2012,48.53762,566.8018,121.748,445.0539,214.0554,45.50515,168.5502,123.8078,530.6934,245.5663,153.7454,112.7888,18.59287,89.89787,205.444,552.6787
1995M12,3355.133,2803.698,464.6906,356.2855,167.227,116.6345,108.4052,157.5312,451.9108,235.0385,54.6679,162.2044,49.64673,566.7301,121.0778,445.6523,213.5789,45.38537,168.1936,123.892,530.1128,245.0927,154.2392,112.256,18.52492,90.18846,205.0628,551.4349
1996M01,3340.532,2793.671,461.0595,354.1348,164.2964,119.0873,106.9247,161.2545,457.1827,233.8466,56.60279,166.7333,52.52183,569.2124,127.1888,442.0236,210.5629,44.61471,165.9482,122.4036,525.7006,243.5018,151.0689,112.8692,18.26071,85.32579,200.9692,546.8613
1996M02,3365.338,2817.657,464.2401,355.4402,165.3496,119.2286,108.7999,160.2397,463.546,236.1367,57.04308,170.3662,53.77335,575.2307,130.3685,444.8621,212.7169,45.18307,167.5338,123.8953,527.5259,244.5995,151.7655,112.8712,18.28974,88.40711,201.8554,547.6811
1996M03,3364.667,2817.193,463.7146,354.9714,165.8906,118.154,108.7432,159.0128,463.4889,236.6046,57.04289,169.8414,54.17936,575.1986,130.2631,444.9355,213.7999,45.57563,168.2242,124.2208,527.6538,244.707,151.4958,113.2229,18.22802,88.85729,201.2459,547.4738
1996M04,3366.187,2818.991,463.1865,354.8012,166.5324,117.4484,108.3853,159.1057,465.1047,237.6105,56.62157,170.8726,56.18286,576.3693,130.0676,446.3017,215.7143,47.56272,168.1516,124.2707,527.0038,246.2005,150.4188,112.2553,18.12934,89.87767,198.3582,547.1962
1996M05,3377.78,2831.679,464.6788,355.4583,167.0598,117.2185,109.2205,158.8062,467.5248,238.7317,56.74125,172.0518,56.48055,578.7617,130.9671,447.7946,217.8607,47.14576,170.7149,125.0379,528.6367,247.8534,150.4568,112.2317,18.09477,90.62607,199.7462,546.1009
1996M06,3384.123,2836.445,464.6294,355.3645,167.3819,116.8508,109.2649,159.4311,469.2953,240.0567,56.84417,172.3945,56.2265,579.4087,131.333,448.0757,216.8959,47.00332,169.8925,125.1877,529.6932,248.1589,150.7949,112.7839,17.95549,91.69554,200.2087,547.6775
1996M07,3374.546,2833.491,463.0244,353.7176,166.0537,117.0177,109.3069,159.6569,468.5331,239.7343,56.86723,171.9316,56.87933,577.3547,129.6737,447.681,217.322,47.12699,170.195,125.5021,529.7052,248.5347,150.7183,112.5437,17.9084,92.27573,200.1166,541.0555
1996M08,3381.866,2840.352,463.3359,353.6399,166.0302,116.7458,109.696,160.0556,469.9245,240.7427,56.80573,172.3761,57.12192,577.7717,129.6775,448.0941,219.6983,48.62994,171.0684,125.9313,530.127,248.5566,151.4035,112.3351,17.83186,92.4766,201.0306,541.5144
1996M09,3387.689,2843.18,463.3322,354.1617,166.468,116.7296,109.1705,159.4126,471.9387,241.7308,56.82352,173.3844,57.9298,578.027,130.4714,447.5556,218.6516,47.48401,171.1676,126.2495,531.7644,249.8687,151.5378,112.6247,17.73322,92.51636,201.2878,544.5091
1996M10,3400.287,2856.481,462.4512,352.4322,167.0692,114.5629,110.0191,159.4131,475.1894,243.5848,57.38406,174.2205,58.83016,584.0403,133.2031,450.8372,221.3321,47.67402,173.6581,126.6104,532.8116,251.7772,151.2528,111.9811,17.80041,93.51187,201.1212,543.8059
